"","person","date","joinTime","leaveTime","playedMinutes"
"1","fenhl",2014-02-19,2014-02-19 10:05:31,2014-02-19 10:15:34,10.05
"2","fenhl",2014-02-19,2014-02-19 12:02:19,2014-02-19 13:00:56,58.6166666666667
"3","fenhl",2014-02-19,2014-02-19 13:00:59,2014-02-19 14:27:56,86.95
"4","fenhl",2014-02-19,2014-02-19 14:38:11,2014-02-19 15:51:37,73.4333333333333
"5","fenhl",2014-02-19,2014-02-19 15:52:07,2014-02-19 17:12:29,80.3666666666667
"6","papierschiff",2014-02-20,2014-02-20 19:14:29,2014-02-20 19:39:44,25.25
"7","papierschiff",2014-02-20,2014-02-20 19:54:45,2014-02-20 20:01:14,6.48333333333333
"8","papierschiff",2014-02-20,2014-02-20 20:01:53,2014-02-20 20:37:03,35.1666666666667
"9","papierschiff",2014-02-20,2014-02-20 20:37:08,2014-02-20 22:03:27,86.3166666666667
"10","papierschiff",2014-02-20,2014-02-20 22:03:38,2014-02-20 22:39:55,36.2833333333333
"11","viirus42",2014-02-20,2014-02-20 22:19:22,2014-02-20 23:04:54,45.5333333333333
"12","fenhl",2014-02-20,2014-02-20 22:44:41,2014-02-20 22:59:33,14.8666666666667
"13","fenhl",2014-02-22,2014-02-22 08:57:35,2014-02-22 10:01:15,63.6666666666667
"14","fenhl",2014-02-22,2014-02-22 10:05:33,2014-02-22 11:17:03,71.5
"15","papierschiff",2014-02-22,2014-02-22 14:39:22,2014-02-22 14:48:34,9.2
"16","papierschiff",2014-02-22,2014-02-22 15:19:42,2014-02-22 15:20:27,0.75
"17","papierschiff",2014-02-22,2014-02-22 15:20:46,2014-02-22 15:20:56,0.166666666666667
"18","papierschiff",2014-02-22,2014-02-22 15:24:40,2014-02-22 15:47:57,23.2833333333333
"19","papierschiff",2014-02-22,2014-02-22 15:48:36,2014-02-22 16:00:46,12.1666666666667
"20","papierschiff",2014-02-22,2014-02-22 16:01:46,2014-02-22 16:15:46,14
"21","papierschiff",2014-02-22,2014-02-22 21:18:20,2014-02-22 21:31:47,13.45
"22","fenhl",2014-02-23,2014-02-23 11:37:17,2014-02-23 11:58:32,21.25
"23","fenhl",2014-02-23,2014-02-23 11:58:48,2014-02-23 12:59:49,61.0166666666667
"24","fenhl",2014-02-23,2014-02-23 13:13:09,2014-02-23 15:17:29,124.333333333333
"25","farthen",2014-02-23,2014-02-23 17:25:15,2014-02-23 17:29:14,3.98333333333333
"26","fenhl",2014-02-24,2014-02-24 05:51:00,2014-02-24 10:03:55,252.916666666667
"27","jemus42",2014-02-24,2014-02-24 08:53:29,2014-02-24 08:57:22,3.88333333333333
"28","fenhl",2014-02-24,2014-02-24 10:05:32,2014-02-24 19:30:23,564.85
"29","efrane",2014-02-24,2014-02-24 10:45:22,2014-02-24 11:08:25,23.05
"30","l3viathan",2014-02-24,2014-02-24 12:02:03,2014-02-24 12:54:10,52.1166666666667
"31","fenhl",2014-02-24,2014-02-24 19:38:09,2014-02-24 20:01:31,23.3666666666667
"32","fenhl",2014-02-24,2014-02-24 20:01:31,2014-02-25 00:00:00,238.483333333333
"33","fenhl",2014-02-25,2014-02-25 00:00:00,2014-02-25 08:57:28,537.466666666667
"34","l3viathan",2014-02-25,2014-02-25 02:50:28,2014-02-25 03:04:30,14.0333333333333
"35","fenhl",2014-02-25,2014-02-25 08:12:38,2014-02-25 09:04:14,51.6
"36","fenhl",2014-02-25,2014-02-25 09:04:14,2014-02-25 10:05:13,60.9833333333333
"37","fenhl",2014-02-25,2014-02-25 10:05:34,2014-02-25 12:01:03,115.483333333333
"38","fenhl",2014-02-25,2014-02-25 12:08:47,2014-02-25 15:16:15,187.466666666667
"39","xsteadfastx",2014-02-25,2014-02-25 14:04:05,2014-02-25 14:20:58,16.8833333333333
"40","fenhl",2014-02-25,2014-02-25 15:20:21,2014-02-25 15:20:35,0.233333333333333
"41","fenhl",2014-02-25,2014-02-25 16:09:08,2014-02-25 17:01:12,52.0666666666667
"42","fenhl",2014-02-25,2014-02-25 17:01:16,2014-02-25 19:17:24,136.133333333333
"43","fenhl",2014-02-25,2014-02-25 19:24:45,2014-02-25 20:01:28,36.7166666666667
"44","fenhl",2014-02-25,2014-02-25 20:47:16,2014-02-25 22:32:02,104.766666666667
"45","naturalismus",2014-02-25,2014-02-25 21:12:57,2014-02-25 22:26:57,74
"46","fenhl",2014-02-26,2014-02-26 07:58:17,2014-02-26 08:10:21,12.0666666666667
